instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap
cello,irmas,irmas,0.3018867924528302,0.851063829787234,0.4456824512534819,94.0,0.8805522208883554,0.9420307509068269,0.626531334735366
clarinet,irmas,irmas,0.25679012345679014,0.8188976377952756,0.3909774436090226,127.0,0.8055222088835534,0.8911349531600948,0.48106971049868774
flute,irmas,irmas,0.33448275862068966,0.8016528925619835,0.4720194647201947,121.0,0.8697478991596639,0.9085025007355105,0.6223007968181468
guitar,irmas,irmas,0.6206896551724138,0.8323699421965318,0.7111111111111112,346.0,0.8595438175270108,0.9318751094762656,0.8293688395100102
organ,irmas,irmas,0.4563380281690141,0.9310344827586207,0.612476370510397,174.0,0.8769507803121248,0.9687182213182952,0.7627955682474811
piano,irmas,irmas,0.6457399103139013,0.8470588235294118,0.7328244274809159,170.0,0.9369747899159664,0.9618000943692986,0.8292045324904639
saxophone,irmas,irmas,0.27123287671232876,0.66,0.3844660194174757,150.0,0.8097238895558223,0.8177748460861918,0.37881341450491823
trumpet,irmas,irmas,0.36482084690553745,0.7466666666666667,0.49015317286652077,150.0,0.8601440576230492,0.8908619173262972,0.6213517730622663
violin,irmas,irmas,0.2903225806451613,0.6923076923076923,0.4090909090909091,143.0,0.8283313325330132,0.8622152633971413,0.49045801150106083
voice,irmas,irmas,0.7669491525423728,0.9476439790575916,0.847775175644028,191.0,0.960984393757503,0.9871221936285384,0.9362134189259812
cello,openmic,openmic,0.7713178294573644,0.8805309734513275,0.822314049586777,226.0,0.822680412371134,0.8882871493490961,0.8497467040593925
clarinet,openmic,openmic,0.34516129032258064,0.781021897810219,0.4787472035794183,137.0,0.6359375,0.7458460913352004,0.4185965628098493
flute,openmic,openmic,0.4870848708487085,0.7542857142857143,0.5919282511210763,175.0,0.6761565836298933,0.7787670727205611,0.6174763638916035
guitar,openmic,openmic,0.9891304347826086,0.9545454545454546,0.9715302491103204,286.0,0.963302752293578,0.9902797202797203,0.9948540844326814
organ,openmic,openmic,0.5806451612903226,0.5950413223140496,0.5877551020408163,121.0,0.765661252900232,0.8325779792055452,0.6194398937601918
piano,openmic,openmic,0.9413793103448276,0.9578947368421052,0.9495652173913044,285.0,0.9301204819277108,0.9716329284750338,0.985383215683497
saxophone,openmic,openmic,0.796923076923077,0.8491803278688524,0.8222222222222222,305.0,0.821939586645469,0.9056466302367941,0.8896029517846465
trumpet,openmic,openmic,0.7084548104956269,0.7641509433962265,0.7352496217851741,318.0,0.7770700636942676,0.8526120156761342,0.7994831269999302
violin,openmic,openmic,0.8782383419689119,0.8604060913705583,0.8692307692307691,394.0,0.838351822503962,0.9057379682580479,0.9219249253011019
voice,openmic,openmic,0.9288888888888889,0.9330357142857143,0.930957683741648,224.0,0.9171122994652406,0.9701190476190477,0.9802331111440112
cello,irmas,openmic,0.6218181818181818,0.7566371681415929,0.6826347305389221,226.0,0.6721649484536083,0.7423548706734547,0.7029074819650787
clarinet,irmas,openmic,0.2970027247956403,0.7956204379562044,0.4325396825396825,137.0,0.553125,0.6862329671605404,0.32974846260352686
flute,irmas,openmic,0.39766081871345027,0.7771428571428571,0.5261121856866537,175.0,0.5640569395017794,0.7174603174603176,0.5882807150726541
guitar,irmas,openmic,0.9746376811594203,0.9405594405594405,0.9572953736654805,286.0,0.944954128440367,0.9816083916083916,0.9902348970297883
organ,irmas,openmic,0.38323353293413176,0.5289256198347108,0.4444444444444445,121.0,0.62877030162413,0.6390029325513196,0.40300852384770663
piano,irmas,openmic,0.9315068493150684,0.9543859649122807,0.9428076256499133,285.0,0.9204819277108434,0.9624021592442644,0.9816646623362502
saxophone,irmas,openmic,0.7219101123595506,0.8426229508196721,0.7776096822995462,305.0,0.766295707472178,0.848067192875936,0.8194352085770368
trumpet,irmas,openmic,0.6240409207161125,0.7672955974842768,0.688293370944993,318.0,0.7184713375796178,0.8049977778675609,0.7237797224611336
violin,irmas,openmic,0.8428927680798005,0.8578680203045685,0.850314465408805,394.0,0.8114104595879557,0.8657499625179378,0.9060484693216004
voice,irmas,openmic,0.9521276595744681,0.7991071428571429,0.8689320388349515,224.0,0.8556149732620321,0.9641071428571428,0.9762854071382155
cello,openmic,irmas,0.1952662721893491,0.7021276595744681,0.3055555555555555,94.0,0.8199279711884754,0.8455281251691841,0.35961745929309125
clarinet,openmic,irmas,0.31962025316455694,0.7952755905511811,0.45598194130925507,127.0,0.8553421368547419,0.8892009843798765,0.5129678141608989
flute,openmic,irmas,0.2916666666666667,0.6363636363636364,0.4,121.0,0.8613445378151261,0.8498274893685309,0.4748830967373839
guitar,openmic,irmas,0.6160458452722063,0.6213872832369942,0.6187050359712231,346.0,0.84093637454982,0.8643567174636538,0.6968668156781512
organ,openmic,irmas,0.07575757575757576,0.028735632183908046,0.041666666666666664,174.0,0.8619447779111644,0.5283812517333826,0.1130348514006104
piano,openmic,irmas,0.47555555555555556,0.6294117647058823,0.5417721518987343,170.0,0.8913565426170468,0.8355614973262032,0.6252890521372138
saxophone,openmic,irmas,0.25951557093425603,0.5,0.3416856492027335,150.0,0.826530612244898,0.7717590149516272,0.27099578033300825
trumpet,openmic,irmas,0.3602941176470588,0.6533333333333333,0.4644549763033175,150.0,0.8643457382953181,0.8481134564643801,0.5275413647645958
violin,openmic,irmas,0.3202846975088968,0.6293706293706294,0.42452830188679247,143.0,0.8535414165666266,0.815279926901726,0.42730914837101
voice,openmic,irmas,0.6127819548872181,0.8534031413612565,0.7133479212253829,191.0,0.9213685474189676,0.95789866004082,0.8054100315950683
