instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap
cello,irmas,irmas,0.2962962962962963,0.851063829787234,0.43956043956043955,94.0,0.8775510204081632,0.9233528233447025,0.624635952365295
clarinet,irmas,irmas,0.29411764705882354,0.7874015748031497,0.42826552462526774,127.0,0.8397358943577431,0.8824576752467347,0.5378254689581933
flute,irmas,irmas,0.3082191780821918,0.743801652892562,0.43583535108958843,121.0,0.8601440576230492,0.8910160742464361,0.613346449765259
guitar,irmas,irmas,0.6604651162790698,0.8208092485549133,0.731958762886598,346.0,0.8751500600240096,0.9343273778244876,0.8260925148563149
organ,irmas,irmas,0.5098684210526315,0.8908045977011494,0.6485355648535565,174.0,0.8991596638655462,0.9569273674154879,0.7063884143836644
piano,irmas,irmas,0.6412556053811659,0.8411764705882353,0.727735368956743,170.0,0.9357743097238895,0.9516750550487575,0.8339078861921639
saxophone,irmas,irmas,0.2822966507177033,0.7866666666666666,0.4154929577464788,150.0,0.8007202881152461,0.869415127528584,0.5447591572239163
trumpet,irmas,irmas,0.35737704918032787,0.7266666666666667,0.47912087912087914,150.0,0.8577430972388955,0.9007343887423044,0.6434788964900735
violin,irmas,irmas,0.2804532577903683,0.6923076923076923,0.3991935483870968,143.0,0.8211284513805522,0.8412637920188807,0.48031685555136205
voice,irmas,irmas,0.777292576419214,0.9319371727748691,0.8476190476190477,191.0,0.9615846338535414,0.98613186618156,0.92520418237649
cello,openmic,openmic,0.7370517928286853,0.8185840707964602,0.7756813417190777,226.0,0.7793814432989691,0.8657190692588923,0.8203400858515604
clarinet,openmic,openmic,0.35793357933579334,0.708029197080292,0.4754901960784314,137.0,0.665625,0.7501559983166693,0.4340835145092015
flute,openmic,openmic,0.4980694980694981,0.7371428571428571,0.5944700460829493,175.0,0.6868327402135231,0.7947582133628646,0.6601793128869435
guitar,openmic,openmic,0.9479166666666666,0.9545454545454546,0.9512195121951219,286.0,0.9357798165137615,0.9814219114219114,0.9906323988122354
organ,openmic,openmic,0.544,0.5619834710743802,0.5528455284552847,121.0,0.7447795823665894,0.7944814716075713,0.5758974192846018
piano,openmic,openmic,0.9355932203389831,0.968421052631579,0.9517241379310345,285.0,0.9325301204819277,0.9603778677462889,0.9780068822540136
saxophone,openmic,openmic,0.7932098765432098,0.8426229508196721,0.8171701112877583,305.0,0.8171701112877583,0.8985630439182352,0.888938178948945
trumpet,openmic,openmic,0.7122507122507122,0.7861635220125787,0.7473841554559043,318.0,0.7847133757961784,0.8584030274871048,0.7872605059306738
violin,openmic,openmic,0.8801089918256131,0.8197969543147208,0.8488830486202366,394.0,0.8177496038034865,0.9121527554670266,0.935669574503204
voice,openmic,openmic,0.9375,0.8705357142857143,0.9027777777777778,224.0,0.8877005347593583,0.9579166666666666,0.9695916068178083
cello,irmas,openmic,0.6200873362445415,0.6283185840707964,0.6241758241758242,226.0,0.6474226804123712,0.7021730959784057,0.6102133532809741
clarinet,irmas,openmic,0.3125,0.43795620437956206,0.364741641337386,137.0,0.6734375,0.659169073152327,0.3225575519405508
flute,irmas,openmic,0.43795620437956206,0.6857142857142857,0.5345211581291759,175.0,0.6281138790035588,0.7134588409007014,0.5693728168078982
guitar,irmas,openmic,0.9520295202952029,0.9020979020979021,0.926391382405745,286.0,0.9059633027522935,0.9633566433566433,0.97816051319942
organ,irmas,openmic,0.3712871287128713,0.6198347107438017,0.4643962848297214,121.0,0.5986078886310905,0.6577712609970674,0.3795543449510266
piano,irmas,openmic,0.942652329749104,0.9228070175438596,0.9326241134751773,285.0,0.908433734939759,0.9662887989203779,0.9848062483414741
saxophone,irmas,openmic,0.717687074829932,0.6918032786885245,0.7045075125208681,305.0,0.7186009538950715,0.7855191256830601,0.7421718890628628
trumpet,irmas,openmic,0.6290909090909091,0.5440251572327044,0.5834738617200674,318.0,0.6853503184713375,0.7306438797085639,0.6295276296013959
violin,irmas,openmic,0.8031914893617021,0.766497461928934,0.7844155844155843,394.0,0.7369255150554676,0.7939771680695668,0.8494997040220785
voice,irmas,openmic,0.9408602150537635,0.78125,0.853658536585366,224.0,0.839572192513369,0.9584821428571428,0.9687870377521208
cello,openmic,irmas,0.1298932384341637,0.776595744680851,0.2225609756097561,94.0,0.6938775510204082,0.8208001732445455,0.36191370714371685
clarinet,openmic,irmas,0.17520661157024794,0.8346456692913385,0.28961748633879786,127.0,0.687875150060024,0.8466894854517454,0.4297674706772164
flute,openmic,irmas,0.11206896551724138,0.859504132231405,0.19828408007626314,121.0,0.4951980792316927,0.7743988873732917,0.3252303692469677
guitar,openmic,irmas,0.3609625668449198,0.7803468208092486,0.49360146252285186,346.0,0.6674669867947179,0.7943641618497109,0.5797245977149039
organ,openmic,irmas,0.21333333333333335,0.1839080459770115,0.19753086419753083,174.0,0.843937575030012,0.6752796523990016,0.18328352071737625
piano,openmic,irmas,0.2315270935960591,0.8294117647058824,0.362002567394095,170.0,0.7016806722689075,0.8359900912236552,0.44138526185396915
saxophone,openmic,irmas,0.19158878504672897,0.82,0.3106060606060606,150.0,0.6722689075630253,0.820325417766051,0.3732709573621716
trumpet,openmic,irmas,0.20268006700167504,0.8066666666666666,0.3239625167336011,150.0,0.6968787515006002,0.8440369393139842,0.47950053895643974
violin,openmic,irmas,0.17826825127334464,0.7342657342657343,0.28688524590163933,143.0,0.6866746698679472,0.7776701302636956,0.32506507818556396
voice,openmic,irmas,0.3755020080321285,0.9790575916230366,0.5428156748911466,191.0,0.8109243697478992,0.9757032567219808,0.8500584565566172
