embedding,irmas-irmas,openmic-openmic,openmic-irmas,irmas-openmic
vggish-k,91.76,87.95,82.49 (-0.66),83.66 (-0.66)
openl3-k,93.87,87.21,79.06 (-1.42),80.76 (-1.42)
yamnet-k,94.56,89.81,84.65 (0.09),85.87 (0.09)
vggish-klda,91.77,88.14,82.94 (-0.21),83.51 (-0.21)
openl3-klda,93.49,87.25,78.44 (-2.05),80.13 (-2.05)
yamnet-klda,94.56,89.82,84.87 (0.31),84.95 (0.31)
vggish-mklda,91.75,87.78,82.29 (-0.86),83.04 (-0.86)
openl3-mklda,93.69,87.08,78.95 (-1.54),80.62 (-1.54)
yamnet-mklda,94.36,89.79,84.72 (0.16),85.24 (0.16)
