embedding,irmas-irmas,openmic-openmic,openmic-irmas,irmas-openmic
vggish-k,92.49,88.14,82.07 (-0.74),82.76 (-1.05)
openl3-k,93.95,87.75,80.91 (0.35),80.77 (0.61)
yamnet-k,93.77,89.2,86.6 (1.59),83.84 (-1.63)
vggish-klda,92.17,88.06,82.64 (-0.17),83.68 (-0.13)
openl3-klda,93.95,87.86,78.59 (-1.97),80.31 (0.15)
yamnet-klda,93.36,89.33,86.05 (1.04),84.56 (-0.91)
vggish-mklda,92.22,88.03,82.4 (-0.41),83.49 (-0.32)
openl3-mklda,93.95,87.87,81.24 (0.69),80.52 (0.35)
yamnet-mklda,93.71,89.21,85.79 (0.78),84.42 (-1.05)
